gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000032081	101	-0.0460046097636219	-0.1417132623844277	0.9987299313891996	1.0	ENSMUSG00000032081
ENSMUSG00000049436	80	0.1388498093932858	0.232294631012517	0.9987352813362814	1.0	ENSMUSG00000049436
ENSMUSG00000095079	216	-0.242656389810144	-0.36086414111885	0.9987421282580108	1.0	ENSMUSG00000095079
ENSMUSG00000038895	106	-0.1420457467436788	-0.2052452193639251	0.9987430827373214	1.0	ENSMUSG00000038895
ENSMUSG00000037211	103	-0.1026778005063548	-0.1282625566112601	0.9987467259565046	1.0	ENSMUSG00000037211
ENSMUSG00000121782	93	0.0579930648207652	0.0875367264394821	0.9987709936074608	1.0	ENSMUSG00000121782
ENSMUSG00000007603	88	-0.0255180407315481	-0.0437317648527487	0.9987722599059172	1.0	ENSMUSG00000007603
ENSMUSG00000060548	83	-0.1458000421524034	-0.2187411544803426	0.9987836389251632	1.0	ENSMUSG00000060548
ENSMUSG00000080365	82	-0.3329349637031549	-0.4466778471141951	0.9987940614510687	1.0	ENSMUSG00000080365
ENSMUSG00000052595	85	-0.0553876303136353	-0.096056739493714	0.9987942313844616	1.0	ENSMUSG00000052595
ENSMUSG00000107928	156	-0.0377419531345361	-0.075187712604904	0.9988028513437498	1.0	ENSMUSG00000107928
ENSMUSG00000074754	86	0.2250899925827974	0.2903396323180168	0.9988047736890172	1.0	ENSMUSG00000074754
ENSMUSG00000114943	103	0.0651122741401195	0.0774298838525043	0.998810491259341	1.0	ENSMUSG00000114943
ENSMUSG00000036040	97	0.2524516135454172	0.2894767103281844	0.9988122759769512	1.0	ENSMUSG00000036040
ENSMUSG00000042988	89	-0.1094486005604265	-0.1676969672394571	0.998812435887922	1.0	ENSMUSG00000042988
ENSMUSG00000062545	81	0.0866113334894181	0.120602201864515	0.9988199515761168	1.0	ENSMUSG00000062545
ENSMUSG00000001025	83	-0.0558297831565137	-0.0810159301295283	0.9988206405538518	1.0	ENSMUSG00000001025
ENSMUSG00000028553	167	0.0685717724263669	0.092562931119344	0.998829964581455	1.0	ENSMUSG00000028553
ENSMUSG00000091705	150	0.013905410654843	0.027381965042462	0.9988698539857128	1.0	ENSMUSG00000091705
ENSMUSG00000074406	89	-0.0268028259277359	-0.0425889335209697	0.9988711033189858	1.0	ENSMUSG00000074406
ENSMUSG00000102644	255	0.0567409722134475	0.0759638221075481	0.9988751209009448	1.0	ENSMUSG00000102644
