rank	gene	degree
317	ENSMUSG00000021876	112
318	ENSMUSG00000115190	112
319	ENSMUSG00000031762	112
320	ENSMUSG00000018486	112
321	ENSMUSG00000089694	112
322	ENSMUSG00000119206	112
323	ENSMUSG00000106147	111
324	ENSMUSG00000020181	111
325	ENSMUSG00000021207	111
326	ENSMUSG00000002797	111
327	ENSMUSG00000032081	111
328	ENSMUSG00000030854	111
329	ENSMUSG00000026622	111
330	ENSMUSG00000097305	111
331	ENSMUSG00000119670	110
332	ENSMUSG00000029516	110
333	ENSMUSG00000027533	110
334	ENSMUSG00000091705	110
335	ENSMUSG00000033618	110
336	ENSMUSG00000106107	110
337	ENSMUSG00000070304	110
338	ENSMUSG00002074875	109
339	ENSMUSG00000038624	109
340	ENSMUSG00000093535	109
341	ENSMUSG00000119648	109
342	ENSMUSG00000037254	109
343	ENSMUSG00000038264	109
344	ENSMUSG00000053846	108
345	ENSMUSG00000090264	108
346	ENSMUSG00000028444	108
347	ENSMUSG00000025150	108
348	ENSMUSG00000119851	108
349	ENSMUSG00000121404	108
350	ENSMUSG00000019767	108
351	ENSMUSG00000033855	108
352	ENSMUSG00000092805	108
353	ENSMUSG00000045871	107
354	ENSMUSG00000117789	107
355	ENSMUSG00000064339	107
356	ENSMUSG00000039364	107
357	ENSMUSG00000026348	107
358	ENSMUSG00000059810	107
359	ENSMUSG00000021388	107
360	ENSMUSG00000030111	107
361	ENSMUSG00000033634	107
362	ENSMUSG00000018830	107
363	ENSMUSG00000025488	106
364	ENSMUSG00000022679	106
365	ENSMUSG00000015090	106
366	ENSMUSG00000032786	106
367	ENSMUSG00000032193	106
368	ENSMUSG00000020538	106
369	ENSMUSG00000052565	106
370	ENSMUSG00000109941	106
371	ENSMUSG00000020427	106
372	ENSMUSG00000042116	106
373	ENSMUSG00000021508	106
374	ENSMUSG00000044748	105
375	ENSMUSG00000120254	105
376	ENSMUSG00002076650	105
377	ENSMUSG00000074715	105
378	ENSMUSG00000037010	105
379	ENSMUSG00000027513	105
380	ENSMUSG00000095300	105
381	ENSMUSG00000030862	105
382	ENSMUSG00000041301	105
