rank	gene	degree
713	ENSMUSG00000069662	112
714	ENSMUSG00000064357	112
715	ENSMUSG00000024694	112
716	ENSMUSG00000001506	112
717	ENSMUSG00000030769	112
718	ENSMUSG00000019122	112
719	ENSMUSG00000034205	112
720	ENSMUSG00000048988	112
721	ENSMUSG00000008734	112
722	ENSMUSG00000025142	112
723	ENSMUSG00000105827	112
724	ENSMUSG00000021125	112
725	ENSMUSG00000031766	112
726	ENSMUSG00000026574	111
727	ENSMUSG00000026941	111
728	ENSMUSG00000001943	111
729	ENSMUSG00000118667	111
730	ENSMUSG00000006360	111
731	ENSMUSG00000035203	111
732	ENSMUSG00000029516	111
733	ENSMUSG00000032564	111
734	ENSMUSG00000014905	111
735	ENSMUSG00000031538	111
736	ENSMUSG00000095687	111
737	ENSMUSG00000041431	111
738	ENSMUSG00000047586	111
739	ENSMUSG00000010175	111
740	ENSMUSG00000024212	111
741	ENSMUSG00000004891	111
742	ENSMUSG00000079017	111
743	ENSMUSG00000069792	111
744	ENSMUSG00000078921	111
745	ENSMUSG00000061104	111
746	ENSMUSG00000000282	111
747	ENSMUSG00000026678	111
748	ENSMUSG00000002565	111
749	ENSMUSG00000060470	111
750	ENSMUSG00000021379	111
751	ENSMUSG00000100210	111
752	ENSMUSG00000105096	111
753	ENSMUSG00000030268	111
754	ENSMUSG00000018983	111
755	ENSMUSG00000074715	111
756	ENSMUSG00000070368	111
757	ENSMUSG00000030930	111
758	ENSMUSG00000032080	110
759	ENSMUSG00000055254	110
760	ENSMUSG00000054675	110
761	ENSMUSG00000040732	110
762	ENSMUSG00000025574	110
763	ENSMUSG00000042745	110
764	ENSMUSG00000028088	110
765	ENSMUSG00000064368	110
766	ENSMUSG00000078920	110
767	ENSMUSG00000032300	110
768	ENSMUSG00000042312	110
769	ENSMUSG00000091405	110
770	ENSMUSG00000003477	110
771	ENSMUSG00000022580	110
772	ENSMUSG00000061983	110
773	ENSMUSG00000005043	110
774	ENSMUSG00000021611	110
775	ENSMUSG00000020758	110
776	ENSMUSG00000002688	110
777	ENSMUSG00000015943	110
778	ENSMUSG00000032525	110
779	ENSMUSG00000027533	110
780	ENSMUSG00000062210	110
781	ENSMUSG00000028463	110
782	ENSMUSG00000091972	109
783	ENSMUSG00000073940	109
784	ENSMUSG00000042379	109
785	ENSMUSG00000038319	109
786	ENSMUSG00000030222	109
787	ENSMUSG00000048731	109
788	ENSMUSG00000057337	109
789	ENSMUSG00000048096	109
790	ENSMUSG00000046743	109
791	ENSMUSG00000017718	109
792	ENSMUSG00000042453	109
793	ENSMUSG00000069273	109
794	ENSMUSG00000070509	109
795	ENSMUSG00000045252	109
796	ENSMUSG00000078919	109
797	ENSMUSG00000032978	109
798	ENSMUSG00000069919	108
799	ENSMUSG00000104713	108
800	ENSMUSG00000025408	108
801	ENSMUSG00000024608	108
802	ENSMUSG00000050621	108
803	ENSMUSG00000067455	108
804	ENSMUSG00000057103	108
805	ENSMUSG00000028410	108
806	ENSMUSG00000031278	108
807	ENSMUSG00000032523	108
808	ENSMUSG00000033961	108
809	ENSMUSG00000022504	108
810	ENSMUSG00000079165	108
811	ENSMUSG00000031343	108
812	ENSMUSG00000032122	108
813	ENSMUSG00000020604	108
814	ENSMUSG00000046794	108
815	ENSMUSG00000022893	108
816	ENSMUSG00000012428	108
817	ENSMUSG00000027435	108
818	ENSMUSG00000003541	108
819	ENSMUSG00000063142	108
820	ENSMUSG00000101452	108
821	ENSMUSG00000029641	108
822	ENSMUSG00000055148	108
823	ENSMUSG00000025815	108
824	ENSMUSG00000027513	107
825	ENSMUSG00000074218	107
826	ENSMUSG00000048897	107
827	ENSMUSG00000038895	107
828	ENSMUSG00000024411	107
829	ENSMUSG00000019944	107
830	ENSMUSG00000023046	107
831	ENSMUSG00000040794	107
832	ENSMUSG00000022235	107
833	ENSMUSG00000032758	107
834	ENSMUSG00000032311	107
835	ENSMUSG00000021223	107
836	ENSMUSG00000043079	107
837	ENSMUSG00000033453	107
838	ENSMUSG00000015962	107
839	ENSMUSG00000032128	107
840	ENSMUSG00000032744	107
841	ENSMUSG00000017446	107
842	ENSMUSG00000053907	107
843	ENSMUSG00000074403	107
844	ENSMUSG00000001403	107
845	ENSMUSG00000037254	107
846	ENSMUSG00000002289	107
847	ENSMUSG00000045680	107
848	ENSMUSG00000071847	107
849	ENSMUSG00000066829	107
850	ENSMUSG00000009145	107
851	ENSMUSG00000048007	107
852	ENSMUSG00000056209	107
853	ENSMUSG00000002227	107
854	ENSMUSG00000013921	107
855	ENSMUSG00000015656	106
856	ENSMUSG00000025491	106
857	ENSMUSG00000028262	106
858	ENSMUSG00000079363	106
859	ENSMUSG00000020917	106
860	ENSMUSG00000054763	106
861	ENSMUSG00000023755	106
862	ENSMUSG00000044139	106
863	ENSMUSG00000022033	106
864	ENSMUSG00000032602	106
865	ENSMUSG00000039903	106
866	ENSMUSG00000003038	106
867	ENSMUSG00000060639	106
868	ENSMUSG00000005774	106
869	ENSMUSG00000029417	106
870	ENSMUSG00000040706	106
871	ENSMUSG00000049971	106
872	ENSMUSG00000005148	106
